macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,seed,source,model,target,setting
0.9879130506977323,0.9949928393300089,0.9760354580098368,0.9851982252613127,0.0004096051784177141,0.004939076382997509,0.0006138047373491463,45,nf2018,lgbm,nf2018,in_domain
0.4683680450138864,0.877588221709711,-0.04288260121898768,0.5071633331017893,0.13238535309503052,0.161816685668841,0.1629018151949027,45,nf2018,lgbm,nfunsw,zero_shot
0.9873914705028989,0.9947839110336797,0.9750732828946487,0.9864731037998395,0.00010208621369795336,0.005092288453757433,0.0005656116622816494,45,nf2018,mlp,nf2018,in_domain
0.4782797950260613,0.9144141792440955,-0.04216420213841988,0.4791814700982151,0.059858761987794246,0.08120173524808325,0.0552939536371017,45,nf2018,mlp,nfunsw,zero_shot
0.42251490994440133,0.7383595759756821,-0.15263946029623665,0.49660624914931706,0.1857553182506204,0.203120109925926,0.18339194814814816,45,nfunsw,rf,nf2018,zero_shot
0.9820439630752013,0.9973762494081553,0.9641352854794146,0.9939345069652882,0.0017471665213600698,0.0020889495128458666,0.0006316412314493077,45,nfunsw,rf,nfunsw,in_domain
0.4513163464278459,0.781669415574163,-0.09634793570596097,0.4335541502131478,0.10297222120696152,0.16651908899877754,0.17254723300800767,45,nfunsw,lgbm,nf2018,zero_shot
0.98017329871648,0.9971001081060595,0.9604154437318819,0.9950100165214358,0.001972101133391456,0.002228921929265481,0.00025855797488464954,45,nfunsw,lgbm,nfunsw,in_domain
0.4247963601948129,0.7335554471984715,-0.1464111457363836,0.4600078820890667,0.19882739489846202,0.26058020306985435,0.26408562239440564,45,nfunsw,mlp,nf2018,zero_shot
0.9706759466303152,0.9956559750105655,0.942056438164642,0.9893795056976626,0.0038099389712292937,0.003217392148120457,0.0006715930206726214,45,nfunsw,mlp,nfunsw,in_domain
0.988998005239196,0.9954432181463283,0.9782169273891322,0.9856007246118308,9.326394831664875e-05,0.004754550617283949,0.004982503703703722,46,nf2018,rf,nf2018,in_domain
0.490818408102627,0.9437198780737409,0.02066882181302441,0.48211324157778795,0.0,0.059266865540090106,0.15024224975280637,46,nf2018,rf,nfunsw,zero_shot
0.987967118912012,0.9950152377226279,0.9761436127776275,0.9847834765036343,0.0003970019421587075,0.004850343704169419,0.00036233912180846115,46,nf2018,lgbm,nf2018,in_domain
0.47461855783030876,0.8731751607303881,-0.021830572991962036,0.5090667056248559,0.14308979947689626,0.17029203264594622,0.17078330919724632,46,nf2018,lgbm,nfunsw,zero_shot
0.9873659670683028,0.9947735853749605,0.9750250387923819,0.9864509354332526,9.45242719425494e-05,0.005076452211340373,0.000592480992344094,46,nf2018,mlp,nf2018,in_domain
0.49862432282714314,0.9310714907116143,-0.0021952959203660714,0.4943362897844962,0.02924149956408021,0.060824470830794806,0.04891579471484468,46,nf2018,mlp,nfunsw,zero_shot
0.4232008554647532,0.7352649940737347,-0.15038087662361543,0.5026192633876487,0.19356050246582318,0.19755852743209873,0.1612459777777778,46,nfunsw,rf,nf2018,zero_shot
0.981991040457195,0.9973698849546258,0.96401940077317,0.9945316134155255,0.0017070619006102877,0.002061183088078482,0.0005421425982845348,46,nfunsw,rf,nfunsw,in_domain
0.4750438897925614,0.8273573473771895,0.03530603652066306,0.4273122255527115,0.0016485033026780616,0.12079527203691474,0.12984049560191643,46,nfunsw,lgbm,nf2018,zero_shot
0.9807406150160196,0.9971866693936611,0.9615224050313438,0.9954774497202097,0.0018204010462074978,0.0021542647195378216,0.0002692891317926548,46,nfunsw,lgbm,nfunsw,in_domain
0.9888563522257712,0.9953847565146939,0.9779360981542735,0.9853847878914832,0.00011216880270515864,0.004807780185185186,0.005079588888889294,44,nf2018,rf,nf2018,in_domain
0.490637925914795,0.943700719286619,0.012815398793367743,0.4945829230177315,5.231037489102005e-06,0.05697577810065813,0.14028183988116813,44,nf2018,rf,nfunsw,zero_shot
0.4564903390575275,0.7603252934333883,-0.08555905222489249,0.46307630036153385,0.1603182065090674,0.2255773180881059,0.21887018549568857,46,nfunsw,mlp,nf2018,zero_shot
0.9727979213608394,0.9960251681487907,0.9456425757871126,0.9923248470364429,0.0024533565823888406,0.0029480128012367777,0.0006955470097250456,46,nfunsw,mlp,nfunsw,in_domain
0.9878524667014672,0.9949679683271964,0.9759167261252066,0.9844132012016297,0.0004096051784177141,0.004859941467425969,0.0002990090908795991,44,nf2018,lgbm,nf2018,in_domain
0.49679293944954384,0.9380897204244618,-0.0006066730940160546,0.5035312080218508,0.013553618134263295,0.05268756704280467,0.05528285951457243,44,nf2018,lgbm,nfunsw,zero_shot
