seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s,benign_expected,benign_ratio
42,nftonv2,rf,0.0001,split,uniform,210,147,63,43,19,0.0,0.145869,0.274009,0.301587,0.840123,0.951996,0.106565,0.820823,0.71,0.4,17.262544,1.100649
42,nftonv2,rf,0.0001,reserved,diversity,210,147,63,47,14,0.0,0.192636,0.274009,0.222222,0.796081,0.870459,0.011167,0.865224,0.816667,0.4,17.262544,0.811004
42,nftonv2,rf,0.0001,reserved,uniform,210,147,63,32,14,0.0,0.192636,0.274009,0.222222,0.844588,0.915494,0.026368,0.750429,0.77,0.5,17.262544,0.811004
42,nftonv2,rf,0.001,split,diversity,2100,1470,630,410,176,1.0,0.026669,0.274009,0.279365,0.904873,0.953746,0.022864,0.884392,0.783333,0.6,172.625437,1.019548
42,nftonv2,rf,0.001,split,uniform,2100,1470,630,395,169,1.0,0.027761,0.274009,0.268254,0.84281,0.905942,0.011313,0.900184,0.946667,0.6,172.625437,0.978998
42,nftonv2,rf,0.001,reserved,diversity,2100,1470,630,432,172,1.0,0.027282,0.274009,0.273016,0.897467,0.945584,0.015583,0.912512,0.83,0.6,172.625437,0.996377
42,nftonv2,rf,0.001,reserved,uniform,2100,1470,630,421,172,1.0,0.027282,0.274009,0.273016,0.877846,0.933656,0.017554,0.891237,0.82,0.6,172.625437,0.996377
42,nftonv2,lgbm,0.0001,split,diversity,210,147,63,41,18,0.0,0.153318,0.274009,0.285714,0.835638,0.930763,0.067552,0.341729,0.960073,0.1,17.262544,1.04272
42,nftonv2,lgbm,0.0001,split,uniform,210,147,63,43,19,0.0,0.145869,0.274009,0.301587,0.630599,0.737343,0.03321,0.500616,0.999968,0.1,17.262544,1.100649
42,nftonv2,lgbm,0.0001,reserved,diversity,210,147,63,47,14,0.0,0.192636,0.274009,0.222222,0.733691,0.840258,0.04248,0.337376,0.998876,0.1,17.262544,0.811004
42,nftonv2,lgbm,0.0001,reserved,uniform,210,147,63,32,14,0.0,0.192636,0.274009,0.222222,0.811834,0.916658,0.071129,0.306267,0.999821,0.0,17.262544,0.811004
42,nftonv2,lgbm,0.001,split,diversity,2100,1470,630,410,176,1.0,0.026669,0.274009,0.279365,0.864759,0.924985,0.017919,0.844039,0.999839,0.3,172.625437,1.019548
42,nftonv2,lgbm,0.001,split,uniform,2100,1470,630,395,169,1.0,0.027761,0.274009,0.268254,0.879173,0.937106,0.022682,0.816952,0.999872,0.2,172.625437,0.978998
42,nftonv2,lgbm,0.001,reserved,diversity,2100,1470,630,432,172,1.0,0.027282,0.274009,0.273016,0.915081,0.959304,0.021112,0.889433,0.998489,0.3,172.625437,0.996377
42,nftonv2,lgbm,0.001,reserved,uniform,2100,1470,630,421,172,1.0,0.027282,0.274009,0.273016,0.768356,0.848344,0.011788,0.810458,0.99999,1.2,172.625437,0.996377
42,nftonv2,mlp,0.0001,split,diversity,210,147,63,41,18,0.0,0.153318,0.274009,0.285714,0.638108,0.835499,0.152348,0.061757,0.991875,0.3,17.262544,1.04272
42,nftonv2,mlp,0.0001,split,uniform,210,147,63,43,19,0.0,0.145869,0.274009,0.301587,0.399628,0.604372,0.156673,0.0,0.994863,0.2,17.262544,1.100649
42,nftonv2,mlp,0.0001,reserved,diversity,210,147,63,47,14,0.0,0.192636,0.274009,0.222222,0.647021,0.812069,0.107587,0.185706,0.954963,0.2,17.262544,0.811004
42,nftonv2,mlp,0.0001,reserved,uniform,210,147,63,32,14,0.0,0.192636,0.274009,0.222222,0.0,0.0,0.0,0.0,1.0,0.3,17.262544,0.811004
42,nftonv2,mlp,0.001,split,diversity,2100,1470,630,410,176,1.0,0.026669,0.274009,0.279365,0.335036,0.32991,0.008284,0.344897,0.958992,0.6,172.625437,1.019548
42,nftonv2,mlp,0.001,split,uniform,2100,1470,630,395,169,1.0,0.027761,0.274009,0.268254,0.278055,0.249805,0.008412,0.279283,0.979585,0.7,172.625437,0.978998
42,nftonv2,mlp,0.001,reserved,diversity,2100,1470,630,432,172,1.0,0.027282,0.274009,0.273016,0.35262,0.359622,0.011076,0.342741,0.958563,0.5,172.625437,0.996377
42,nftonv2,mlp,0.001,reserved,uniform,2100,1470,630,421,172,1.0,0.027282,0.274009,0.273016,0.5123,0.595074,0.025072,0.336033,0.906688,0.5,172.625437,0.996377
42,nfbotv2,rf,0.0001,split,diversity,210,147,63,6,3,0.0,0.631597,0.004195,0.047619,0.498196,0.993678,0.247914,0.0,0.97,0.5,0.264285,11.351382
42,nfbotv2,rf,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
42,nfbotv2,rf,0.0001,reserved,diversity,210,147,63,7,0,0.0,,0.004195,0.0,,,,0.980433,,0.5,0.264285,0.0
42,nfbotv2,rf,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
