seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
43,nfbotv2,nftonv2,lgbm,0.001,calibrate,2100,0.4206219075539693,0.6107334447783608,0.0,0.5020151422330236,1.0,0.1989119264446524,0.000274274553852,0.0418336405772857,0.7199381646302294,,,0.0,
43,nfbotv2,nftonv2,lgbm,0.001,rethreshold,2100,0.4307813361719083,0.6161328741603609,0.0421976712182108,0.5020153560201916,0.9894711871829496,0.2737463658466105,0.2737463672890188,0.0440087694163234,5.8745415175686505e-266,0.0071454314201358,1.4753387119738375e-42,0.0,
43,nfbotv2,nftonv2,lgbm,0.01,calibrate,21000,0.4206219075539693,0.6107334447783608,0.0,0.5020151422330236,1.0,0.1986240245436925,0.0011298788904258,0.0418336405772857,0.5617878219211074,,,0.0,
43,nfbotv2,nftonv2,lgbm,0.01,rethreshold,21000,0.4307848306774055,0.6161328741603609,0.0428414186269635,0.5020153560201916,0.9894894346921644,0.2737463658466105,0.2737463672890188,0.0440087694163234,5.8745415175686505e-266,0.0291497940772995,3.0019544517181065e-87,0.0,
43,nfbotv2,nftonv2,lgbm,0.05,calibrate,105000,0.4307663849188352,0.6161328741603609,0.0417128063550186,0.5020151422330236,0.9894711871829496,0.1985830973372775,4.009416759914505e-05,0.0418336405772857,0.4798994486992998,,,0.0,
43,nfbotv2,nftonv2,lgbm,0.05,rethreshold,105000,0.4307597796031669,0.6161328741603609,0.043624459349275,0.5020153560201916,0.9895441772198096,0.2737463658466105,0.2737463672890188,0.0440087694163234,5.8745415175686505e-266,0.0429659002856414,5.024267035150202e-215,0.0,
43,nfbotv2,nftonv2,lgbm,0.1,calibrate,210000,0.4307663849188352,0.6161328741603609,0.0417128063550186,0.5020151422330236,0.9894711871829496,0.1985838946327813,0.0001031730767425,0.0418336405772857,0.4885971909899271,,,0.0,
43,nfbotv2,nftonv2,lgbm,0.1,rethreshold,210000,0.4307637758797406,0.6161328741603609,0.0432160033637604,0.5020153560201916,0.9895259297105944,0.2737463658466105,0.2737463672890188,0.0440087694163234,5.8745415175686505e-266,0.0412078186694539,5.265193024324528e-167,0.0,
43,nfbotv2,nfbotv2,lgbm,0.0,in_domain,250000,0.827113889020779,0.9973254353698164,0.6646018391021653,0.7228256341539622,0.4421930870083432,0.0024600533837452,0.0024616564928202,0.6731046285747344,2.8436699781531957e-303,,,,9.0
43,nfbotv2,nf2018v2,mlp,0.0,zero_shot,250000,0.5509119768799591,0.6972462177910305,0.3051184153347129,0.6025614655677562,0.3989859461666723,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,,,,47.0
43,nfbotv2,nf2018v2,mlp,0.0001,calibrate,217,0.4685389944276592,0.8261331950887618,0.0,0.6027502122102141,0.0,0.0940421002265804,0.0310614181043379,0.3733014703493246,0.2750471109691199,,,0.0,
43,nfbotv2,nf2018v2,mlp,0.0001,rethreshold,217,0.6821904944623689,0.6972462177910305,0.3702355502278167,0.6025614655677562,0.1047572055670875,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,0.4616180414760847,0.9999999990526892,0.0,
43,nfbotv2,nf2018v2,mlp,0.001,calibrate,2102,0.4685389944276592,0.8261331950887618,0.0,0.6028952568488011,0.0,0.0928702379767996,0.0156148330224425,0.3733014703493246,0.2500007930680942,,,0.0,
43,nfbotv2,nf2018v2,mlp,0.001,rethreshold,2102,0.6828356918654093,0.6972462177910305,0.3722707161675377,0.6025614655677562,0.1065323669196129,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,0.3961117902260289,0.999999998826706,0.0,
43,nfbotv2,nf2018v2,mlp,0.01,calibrate,21001,0.4685389944276592,0.8261331950887618,0.0,0.6028876887716241,0.0,0.0928625944038396,0.018211729917671,0.3733014703493246,0.2417286227712209,,,0.0,
43,nfbotv2,nf2018v2,mlp,0.01,rethreshold,21001,0.6828484036409719,0.6972462177910305,0.3723283940102201,0.6025614655677562,0.1066117671079048,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,0.3733772590277761,0.9999999988074886,0.0,
43,nfbotv2,nf2018v2,mlp,0.05,calibrate,105000,0.4685389944276592,0.8261331950887618,0.0,0.6028867161534845,0.0,0.0928520959710919,0.0177463343729283,0.3733014703493246,0.2431646518489116,,,0.0,
43,nfbotv2,nf2018v2,mlp,0.05,rethreshold,105000,0.6828356918654093,0.6972462177910305,0.3722707161675377,0.6025614655677562,0.1065323669196129,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,0.3764347092244926,0.999999998826706,0.0,
43,nfbotv2,nf2018v2,mlp,0.1,calibrate,210000,0.4685389944276592,0.8261331950887618,0.0,0.602862690019029,0.0,0.092843884770217,0.0181874503940128,0.3733014703493246,0.2439686438273415,,,0.0,
43,nfbotv2,nf2018v2,mlp,0.1,rethreshold,210000,0.6826669993585306,0.6972462177910305,0.3731299047701056,0.6025614655677562,0.1095779312848084,0.3434448718472336,0.3426894560461523,0.3733014703493246,0.9999999981228578,0.3750812484127075,0.9999999978565526,0.0,
43,nfbotv2,nfunswv2,mlp,0.0,zero_shot,250000,0.4862149971238184,0.8505467954249302,0.0443494659380301,0.5231553068796795,0.1916369607466145,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,,,,47.0
43,nfbotv2,nfunswv2,mlp,0.0001,calibrate,144,0.490370551571952,0.943678896856096,0.0,0.5204548308530429,0.0,0.0372449842831129,0.0320873779859045,0.1548538618295543,0.0657820692155895,,,0.0,
43,nfbotv2,nfunswv2,mlp,0.0001,rethreshold,144,0.3975823906107428,0.8505467954249302,0.1372094208279642,0.5231553068796795,0.4860841188513942,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,0.2694110131553738,6.0632493250818075e-34,0.0,
43,nfbotv2,nfunswv2,mlp,0.001,calibrate,1392,0.490370551571952,0.943678896856096,0.0,0.5204699386269935,0.0,0.0362889007432496,0.0170245820254048,0.1554674829433282,0.0321211151118515,,,0.0,
