seed,target,model,budget,rule,n_labels,n_fit,n_cal,n_benign_cal,n_benign_select,n_benign_certify,fp_certify,thr_split,bound_split,fpr_split,tpr_split,mcc_split,thr_empirical,fp_obs_empirical,bound_naive,fpr_empirical,tpr_empirical,fit_s
42,nfunswv2,mlp,0.001,diversity,1391,973,418,386,190,196,0.0,0.813674,0.015168,0.001808,0.281688,0.482562,0.66509,3.0,0.019964,0.002775,0.462953,0.7
42,nfunswv2,mlp,0.001,uniform,1391,974,417,401,197,204,3.0,0.079513,0.037567,0.007124,0.832098,0.81968,0.368937,2.0,0.015616,0.005851,0.800609,1.1
42,nfunswv2,mlp,0.001,stratified,1392,975,417,401,201,200,1.0,0.679678,0.023498,0.003788,0.6466,0.741982,0.566033,3.0,0.019221,0.00556,0.728367,0.5
42,nfunswv2,mlp,0.01,uniform,13907,9734,4173,4010,2007,2003,1.0,0.946358,0.002366,0.000457,0.168431,0.389612,0.081032,40.0,0.012965,0.008704,0.81503,0.7
42,nfunswv2,mlp,0.01,stratified,13907,9734,4173,4015,2001,2014,0.0,0.884716,0.001486,4.7e-05,0.010849,0.096593,0.12735,39.0,0.012668,0.009296,0.696745,0.6
42,nftonv2,rf,0.0001,diversity,210,147,63,18,7,11,1.0,0.326667,0.364359,0.161381,0.97491,0.840202,0.626667,0.0,0.153318,0.067352,0.928614,0.6
42,nftonv2,rf,0.0001,uniform,210,147,63,16,9,7,0.0,0.726667,0.348164,0.049597,0.919943,0.83318,0.736667,0.0,0.17075,0.046987,0.91681,0.7
42,nftonv2,rf,0.0001,stratified,213,150,63,17,9,8,0.0,0.84,0.312344,0.014178,0.887277,0.815389,0.856667,0.0,0.161566,0.013266,0.881161,0.8
42,nftonv2,rf,0.001,diversity,2100,1470,630,176,97,79,0.0,0.826667,0.037211,0.018466,0.939985,0.886714,0.783333,1.0,0.026669,0.022864,0.953746,0.8
42,nftonv2,rf,0.001,uniform,2100,1470,630,165,83,82,2.0,0.946667,0.074791,0.008923,0.897932,0.833733,1.0,1.0,0.028427,0.003522,0.701213,0.8
42,nftonv2,rf,0.001,stratified,2100,1470,630,172,88,84,1.0,0.923333,0.055232,0.012043,0.891196,0.822258,0.936667,0.0,0.017266,0.011204,0.883152,0.9
42,nftonv2,rf,0.01,uniform,21000,14700,6300,1696,890,806,2.0,1.0,0.00779,0.00219,0.791194,0.711869,0.863333,16.0,0.014293,0.009434,0.963884,1.4
42,nftonv2,rf,0.01,stratified,21000,14700,6300,1726,831,895,5.0,1.0,0.01171,0.003449,0.810974,0.732216,0.95,16.0,0.014046,0.007792,0.939282,1.5
42,nftonv2,lgbm,0.0001,diversity,210,147,63,18,7,11,4.0,0.000684,0.650188,0.322853,0.977424,0.727244,0.960073,0.0,0.153318,0.067552,0.930763,0.1
42,nftonv2,lgbm,0.0001,uniform,210,147,63,16,9,7,1.0,0.989033,0.520703,0.107916,0.940343,0.820108,0.999994,0.0,0.17075,0.032335,0.640888,0.0
42,nftonv2,lgbm,0.0001,stratified,213,150,63,17,9,8,0.0,0.999267,0.312344,0.021605,0.857084,0.771027,0.999282,0.0,0.161566,0.021477,0.855438,0.1
42,nftonv2,lgbm,0.001,diversity,2100,1470,630,176,97,79,0.0,0.999975,0.037211,0.012335,0.88165,0.809484,0.999839,1.0,0.026669,0.017919,0.924985,0.3
42,nftonv2,lgbm,0.001,uniform,2100,1470,630,165,83,82,1.0,0.999999,0.056548,0.009233,0.778219,0.692297,0.999999,1.0,0.028427,0.009215,0.777227,0.3
42,nftonv2,lgbm,0.001,stratified,2100,1470,630,172,88,84,2.0,0.999985,0.073056,0.018813,0.876795,0.798063,0.999994,1.0,0.027282,0.014288,0.833757,0.3
42,nftonv2,lgbm,0.01,uniform,21000,14700,6300,1696,890,806,1.0,0.999886,0.005872,0.001442,0.647465,0.577281,0.991445,16.0,0.014293,0.009051,0.949124,0.7
42,nftonv2,lgbm,0.01,stratified,21000,14700,6300,1726,831,895,0.0,0.999923,0.003342,0.001277,0.642086,0.572908,0.998442,17.0,0.014737,0.007536,0.912657,3.6
42,nftonv2,mlp,0.0001,diversity,210,147,63,18,7,11,2.0,0.639206,0.470087,0.282471,0.923394,0.658225,0.991875,0.0,0.153318,0.152348,0.835499,0.5
42,nftonv2,mlp,0.0001,uniform,210,147,63,16,9,7,2.0,0.673926,0.658739,0.194883,0.892036,0.679182,1.0,0.0,0.17075,0.016696,0.032101,0.5
42,nftonv2,mlp,0.0001,stratified,213,150,63,17,9,8,0.0,0.98757,0.312344,0.12339,0.607189,0.43212,0.997186,0.0,0.161566,0.104376,0.524102,0.4
42,nftonv2,mlp,0.001,diversity,2100,1470,630,176,97,79,1.0,0.958788,0.058645,0.008394,0.330778,0.335515,0.958992,1.0,0.026669,0.008284,0.32991,1.0
42,nftonv2,mlp,0.001,uniform,2100,1470,630,165,83,82,2.0,0.993568,0.074791,0.009142,0.068266,0.118699,1.0,1.0,0.028427,0.005438,0.000324,0.5
42,nftonv2,mlp,0.001,stratified,2100,1470,630,172,88,84,2.0,0.928952,0.073056,0.034287,0.527993,0.450903,0.942314,1.0,0.027282,0.029725,0.482923,0.9
42,nftonv2,mlp,0.01,uniform,21000,14700,6300,1696,890,806,0.0,0.999638,0.00371,0.000766,0.126841,0.194275,0.984943,16.0,0.014293,0.006405,0.670482,7.7
42,nftonv2,mlp,0.01,stratified,21000,14700,6300,1726,831,895,0.0,1.0,0.003342,0.000182,4.8e-05,-0.006496,0.969712,17.0,0.014737,0.011879,0.74817,3.7
42,nfbotv2,rf,0.0001,diversity,210,147,63,3,0,3,,,,,,,,,,,,0.7
42,nfbotv2,rf,0.0001,uniform,210,147,63,0,0,0,,,,,,,,,,,,0.7
42,nfbotv2,rf,0.0001,stratified,211,148,63,0,0,0,,,,,,,,,,,,0.7
42,nfbotv2,rf,0.001,diversity,2100,1470,630,7,5,2,0.0,0.773333,0.776393,0.034565,0.998966,0.876768,0.926667,0.0,0.348164,0.011919,0.995411,0.9
42,nfbotv2,rf,0.001,uniform,2100,1470,630,2,1,1,0.0,0.96,0.95,0.0882,0.993136,0.569534,0.966667,0.0,0.776393,0.084625,0.992719,0.9
42,nfbotv2,rf,0.001,stratified,2101,1470,631,3,2,1,1.0,0.436667,1.0,0.374255,0.999749,0.755062,0.62,0.0,0.631597,0.196663,0.999573,0.9
42,nfbotv2,rf,0.01,uniform,21000,14700,6300,21,13,8,1.0,0.88,0.470679,0.036949,0.99881,0.862303,0.96,0.0,0.132946,0.001192,0.997951,1.1
42,nfbotv2,rf,0.01,stratified,21000,14700,6300,26,9,17,0.0,0.946667,0.161566,0.02503,0.998564,0.849252,0.95,0.0,0.10883,0.02503,0.998564,1.2
42,nfbotv2,lgbm,0.0001,diversity,210,147,63,3,0,3,,,,,,,,,,,,0.0
42,nfbotv2,lgbm,0.0001,uniform,210,147,63,0,0,0,,,,,,,,,,,,1.0
42,nfbotv2,lgbm,0.0001,stratified,211,148,63,0,0,0,,,,,,,,,,,,0.3
42,nfbotv2,lgbm,0.001,diversity,2100,1470,630,7,5,2,1.0,0.998889,0.974679,0.158522,0.999187,0.826562,0.999954,0.0,0.348164,0.028605,0.996229,0.3
42,nfbotv2,lgbm,0.001,uniform,2100,1470,630,2,1,1,0.0,0.999999,0.95,0.156138,0.948675,0.225362,0.999999,0.0,0.776393,0.13826,0.946706,0.1
42,nfbotv2,lgbm,0.001,stratified,2101,1470,631,3,2,1,1.0,0.000292,1.0,0.32062,0.998725,0.684223,0.999965,0.0,0.631597,0.177592,0.996204,0.1
42,nfbotv2,lgbm,0.01,uniform,21000,14700,6300,21,13,8,0.0,0.999998,0.312344,0.009535,0.996475,0.731406,0.999998,0.0,0.132946,0.009535,0.996465,0.3
42,nfbotv2,lgbm,0.01,stratified,21000,14700,6300,26,9,17,0.0,1.0,0.161566,0.0,0.0,0.0,1.0,0.0,0.10883,0.0,0.0,0.2
42,nfbotv2,mlp,0.0001,diversity,210,147,63,3,0,3,,,,,,,,,,,,0.2
42,nfbotv2,mlp,0.0001,uniform,210,147,63,0,0,0,,,,,,,,,,,,0.1
42,nfbotv2,mlp,0.0001,stratified,211,148,63,0,0,0,,,,,,,,,,,,0.1
42,nfbotv2,mlp,0.001,diversity,2100,1470,630,7,5,2,0.0,0.999999,0.776393,0.137068,0.08474,-0.01213,0.999999,0.0,0.348164,0.135876,0.084103,1.4
42,nfbotv2,mlp,0.001,uniform,2100,1470,630,2,1,1,0.0,1.0,0.95,0.261025,0.002556,-0.277398,1.0,0.0,0.776393,0.252682,0.002164,0.7
42,nfbotv2,mlp,0.001,stratified,2101,1470,631,3,2,1,1.0,0.994524,1.0,0.323004,0.976416,0.263785,0.999997,0.0,0.631597,0.184744,0.132586,4.8
42,nfbotv2,mlp,0.01,uniform,21000,14700,6300,21,13,8,0.0,1.0,0.312344,0.0,0.0,0.0,1.0,0.0,0.132946,0.0,0.0,1.0
42,nfbotv2,mlp,0.01,stratified,21000,14700,6300,26,9,17,0.0,1.0,0.161566,0.0,0.0,0.0,1.0,0.0,0.10883,0.0,0.0,0.9
