seed,source,target,model,budget,buffer_est,cv_est,cv_mode,rt,bo,chose_rt,realised,oracle,regret,always_retrain,correct
42,nfunswv2,nfbotv2,lgbm,0.05,0.1703294376447471,0.8211442519110305,cv3,0.154809540394039,0.001939572376869,0,0.001939572376869,0.154809540394039,0.15286996801716998,0.15286996801716998,False
42,nfunswv2,nfbotv2,lgbm,0.1,0.1681574888137533,0.0869146520705953,cv3,0.154809540394039,0.5489384344772246,1,0.154809540394039,0.5489384344772246,0.3941288940831856,0.0,False
42,nfunswv2,nf2018v2,mlp,0.0001,0.3759836324575671,0.7984251474971643,cv3,0.27519092799696,0.8931536657894262,0,0.8931536657894262,0.8931536657894262,0.0,0.0,True
42,nfunswv2,nf2018v2,mlp,0.001,0.3124623319601469,0.9283160441955144,cv3,0.2803855464069583,0.9401013519738656,0,0.9401013519738656,0.9401013519738656,0.0,0.0,True
42,nfunswv2,nf2018v2,mlp,0.01,0.2862059933951084,0.9383997410406344,cv3,0.2807151612323332,0.9605731359993388,0,0.9605731359993388,0.9605731359993388,0.0,0.0,True
42,nfunswv2,nf2018v2,mlp,0.05,0.2826282538747323,0.9690198635218858,cv3,0.2809702585885121,0.9702359922775567,0,0.9702359922775567,0.9702359922775567,0.0,0.0,True
42,nfunswv2,nf2018v2,mlp,0.1,0.2801439332832432,0.9697814992506558,cv3,0.2809702585885121,0.9697527319466452,0,0.9697527319466452,0.9697527319466452,0.0,0.0,True
42,nfunswv2,nftonv2,mlp,0.0001,0.1669518985442521,0.6409580430424441,cv3,0.1152963711143896,0.6570746325098591,0,0.6570746325098591,0.6570746325098591,0.0,0.0,True
42,nfunswv2,nftonv2,mlp,0.001,0.2211270311003602,0.8965124836895993,cv3,0.1941841006248856,0.9079778559277176,0,0.9079778559277176,0.9079778559277176,0.0,0.0,True
42,nfunswv2,nftonv2,mlp,0.01,0.2015967203787504,0.9213493458190616,cv3,0.1942253114986512,0.9356558783057712,0,0.9356558783057712,0.9356558783057712,0.0,0.0,True
42,nfunswv2,nftonv2,mlp,0.05,0.2006439289754019,0.9467083542416328,cv3,0.1940440243018505,0.943495210597836,0,0.943495210597836,0.943495210597836,0.0,0.0,True
42,nfunswv2,nftonv2,mlp,0.1,0.198577620811928,0.9503915586738002,cv3,0.1940670181190229,0.953793840451774,0,0.953793840451774,0.953793840451774,0.0,0.0,True
42,nfunswv2,nfbotv2,mlp,0.0001,1.0,1.0,resub,0.0560657315041173,0.0852131190162651,0,0.0852131190162651,0.0852131190162651,0.0,0.0,True
42,nfunswv2,nfbotv2,mlp,0.001,0.3835226484096976,0.1353999457001672,cv3,0.4674058837407877,0.6500893936409267,1,0.4674058837407877,0.6500893936409267,0.18268350990013899,0.0,False
42,nfunswv2,nfbotv2,mlp,0.01,0.4589014325213641,0.4650715033761727,cv3,0.5178175701749936,0.7544048080784458,0,0.7544048080784458,0.7544048080784458,0.0,0.0,True
42,nfunswv2,nfbotv2,mlp,0.05,0.5159168027515898,0.8034093705210873,cv3,0.5206465058372604,0.8074495526479445,0,0.8074495526479445,0.8074495526479445,0.0,0.0,True
42,nfunswv2,nfbotv2,mlp,0.1,0.5332384182818545,0.8884361537207258,cv3,0.5206465058372604,0.932578450959186,0,0.932578450959186,0.932578450959186,0.0,0.0,True
42,nftonv2,nf2018v2,rf,0.0001,0.2498261127145374,0.8878696366260774,cv3,0.1820527477317436,0.945363583798542,0,0.945363583798542,0.945363583798542,0.0,0.0,True
