seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,cv_est,cv_mode,n_pseudo,n_benign_buf,fit_s
42,nf2018v2,nftonv2,lgbm,0.1,selector_v2,210000,0.39051857471335655,0.37414445234653504,,0.6894333094193617,0.17501186088098974,0.5689354021866492,0.5671041344722695,0.4771420726765807,0.0002351938611200748,0.47823715253621696,0.9798412917889757,cv3,,57542,
42,nf2018v2,nftonv2,lgbm,0.0001,al_iterative,210,0.9300795405555662,0.9451070583519559,0.861853221025085,0.9595196931447438,0.14169190905441406,0.050093904745996384,0.046402535088380624,0.8645193724249155,0.5902045685036241,,,,,70,1
42,nf2018v2,nftonv2,lgbm,0.0001,insomnia,50210,0.4101650839071057,0.3982816874647749,0.08965153832806735,0.523502148148279,0.16807780737929273,0.5865604023850466,0.5862670089555162,0.15573524346728856,0.9999999800089425,,,,50000,10,2
42,nf2018v2,nftonv2,lgbm,0.001,al_iterative,2100,0.9788854690330082,0.9832515450548756,0.9578661039526816,0.9927005699651301,0.04054596547571256,0.01438007090252625,0.008692201232622834,0.9579944872495098,0.4339202785855692,,,,,932,1
42,nf2018v2,nftonv2,lgbm,0.001,insomnia,52100,0.42597630174707835,0.41835115572549375,0.10926467790126333,0.5276125385080179,0.1681690449253677,0.5729994598778736,0.572731852348167,0.1968511464269804,8.987074695046947e-09,,,,50000,95,2
42,nf2018v2,nfbotv2,lgbm,0.0001,selector_v2,211,0.16980458127603548,0.3300092708311367,,0.5376571789251455,0.20858164481525626,0.4880526504794961,0.569039099394422,0.2516226242911011,0.03431983900549515,0.7054211845550483,1.0,resub,,1,
42,nf2018v2,nfbotv2,lgbm,0.0001,finetune,250210,0.6727988535001411,0.9944887955871581,0.345642122657488,0.6092686320499465,0.6460071513706794,0.005167172413560704,0.004983502786699426,0.46053151479537435,0.9991731640378031,,,,,1,1
42,nf2018v2,nfbotv2,lgbm,0.0001,iw_augment,250210,0.6845546345833657,0.9919419945109008,0.43331693238745195,0.6946000685330063,0.22765196662693682,0.008422867980465829,0.004957496042973638,0.5215879135067404,0.11660517122832255,,,,,1,3
42,nf2018v2,nfbotv2,lgbm,0.001,selector_v2,2101,0.16980458127603548,0.3300092708311367,,0.5376571789251455,0.20858164481525626,0.4880526504794961,0.569039099394422,0.2516226242911011,0.03431983900549515,0.39606817739130445,0.6559047092369128,cv3,,9,
42,nf2018v2,nfbotv2,lgbm,0.001,finetune,252100,0.7989689824901289,0.9970524966400907,0.632960569902065,0.9013436429850905,0.5482717520858165,0.002096098644693434,0.001936209550302334,0.8280545925956869,0.9824809157319981,,,,,9,1
42,nf2018v2,nfbotv2,lgbm,0.001,iw_augment,252100,0.785137991630043,0.9963873688593389,0.5703202026841684,0.7992271890286676,0.42073897497020263,0.0025576359190155693,0.0020957823486024217,0.6239945591886381,0.34758261803025503,,,,,9,5
42,nf2018v2,nfbotv2,lgbm,0.01,selector_v2,21000,0.16980458127603548,0.3300092708311367,,0.5376571789251455,0.20858164481525626,0.4880526504794961,0.569039099394422,0.2516226242911011,0.03431983900549515,0.2588780276428083,0.8252567173307684,cv3,,88,
42,nf2018v2,nfbotv2,lgbm,0.01,finetune,270999,0.9200330184630223,0.9987093783272436,0.8423704864442348,0.9336120187816115,0.2169249106078665,0.0010362267124363529,0.0009588840619326091,0.8781080138139402,0.9848510375334739,,,,,88,1
42,nf2018v2,nfbotv2,lgbm,0.01,iw_augment,270999,0.9194129858209628,0.9986642105612691,0.8389392742947744,0.9009064127942354,0.17401668653158522,0.001158764431889778,0.0009889965965267445,0.8582935585976774,0.6319574447496775,,,,,88,3
42,nf2018v2,nfbotv2,lgbm,0.05,selector_v2,105000,0.16980458127603548,0.3300092708311367,,0.5376571789251455,0.20858164481525626,0.4880526504794961,0.569039099394422,0.2516226242911011,0.03431983900549515,0.25041424731009077,0.5911444901057817,cv3,,440,
42,nf2018v2,nfbotv2,lgbm,0.1,selector_v2,210001,0.16980458127603548,0.3300092708311367,,0.5376571789251455,0.20858164481525626,0.4880526504794961,0.569039099394422,0.2516226242911011,0.03431983900549515,0.2511121356944135,0.4194382859019226,cv3,,881,
