seed,source,target,model,budget,1,3,10,bo
42,nftonv2,nf2018v2,lgbm,0.01,0.9554,0.9561,0.9619,0.9737
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nfbotv2,lgbm,0.001,0.7393,0.7588,0.7594,0.7755
42,nftonv2,nfbotv2,lgbm,0.001,0.7393,0.7588,0.7594,0.7755
42,nftonv2,nfbotv2,lgbm,0.001,0.7393,0.7588,0.7594,0.7755
42,nftonv2,nfbotv2,lgbm,0.01,0.4244,0.6968,0.6968,0.8773
42,nftonv2,nfbotv2,lgbm,0.01,0.4244,0.6968,0.6968,0.8773
42,nftonv2,nfbotv2,lgbm,0.01,0.4244,0.6968,0.6968,0.8773
42,nftonv2,nfbotv2,mlp,0.001,0.3891,0.4079,0.4714,0.6501
42,nftonv2,nfbotv2,mlp,0.001,0.3891,0.4079,0.4714,0.6501
42,nftonv2,nfbotv2,mlp,0.001,0.3891,0.4079,0.4714,0.6501
42,nftonv2,nfbotv2,mlp,0.01,0.8556,0.8914,0.8874,0.7544
42,nftonv2,nfbotv2,mlp,0.01,0.8556,0.8914,0.8874,0.7544
42,nftonv2,nfbotv2,mlp,0.01,0.8556,0.8914,0.8874,0.7544
42,nftonv2,nfbotv2,rf,0.001,0.0359,0.7101,0.7564,0.7255
42,nftonv2,nfbotv2,rf,0.001,0.0359,0.7101,0.7564,0.7255
42,nftonv2,nfbotv2,rf,0.001,0.0359,0.7101,0.7564,0.7255
42,nftonv2,nfbotv2,rf,0.01,0.0374,0.921,0.9021,0.8905
42,nftonv2,nfbotv2,rf,0.01,0.0374,0.921,0.9021,0.8905
42,nftonv2,nfbotv2,rf,0.01,0.0374,0.921,0.9021,0.8905
42,nftonv2,nfunswv2,lgbm,0.001,0.8826,0.875,0.8752,0.8783
42,nftonv2,nfunswv2,lgbm,0.001,0.8826,0.875,0.8752,0.8783
42,nftonv2,nfunswv2,lgbm,0.001,0.8826,0.875,0.8752,0.8783
42,nftonv2,nfunswv2,lgbm,0.01,0.9264,0.9324,0.9339,0.9407
42,nftonv2,nfunswv2,lgbm,0.01,0.9264,0.9324,0.9339,0.9407
42,nftonv2,nfunswv2,lgbm,0.01,0.9264,0.9324,0.9339,0.9407
42,nftonv2,nfunswv2,mlp,0.001,0.3797,0.6667,0.7481,0.8725
42,nftonv2,nfunswv2,mlp,0.001,0.3797,0.6667,0.7481,0.8725
42,nftonv2,nfunswv2,mlp,0.001,0.3797,0.6667,0.7481,0.8725
42,nftonv2,nfunswv2,mlp,0.01,0.7774,0.8505,0.897,0.902
42,nftonv2,nfunswv2,mlp,0.01,0.7774,0.8505,0.897,0.902
42,nftonv2,nfunswv2,mlp,0.01,0.7774,0.8505,0.897,0.902
42,nftonv2,nfunswv2,rf,0.001,0.2094,0.8055,0.891,0.9017
42,nftonv2,nfunswv2,rf,0.001,0.2094,0.8055,0.891,0.9017
42,nftonv2,nfunswv2,rf,0.001,0.2094,0.8055,0.891,0.9017
42,nftonv2,nfunswv2,rf,0.01,0.2132,0.8964,0.9376,0.9417
42,nftonv2,nfunswv2,rf,0.01,0.2132,0.8964,0.9376,0.9417
42,nftonv2,nfunswv2,rf,0.01,0.2132,0.8964,0.9376,0.9417
42,nfunswv2,nf2018v2,lgbm,0.001,0.9481,0.9501,0.9508,0.9617
42,nfunswv2,nf2018v2,lgbm,0.001,0.9481,0.9501,0.9508,0.9617
42,nfunswv2,nf2018v2,lgbm,0.001,0.9481,0.9501,0.9508,0.9617
42,nfunswv2,nf2018v2,lgbm,0.01,0.9455,0.8444,0.902,0.9737
42,nfunswv2,nf2018v2,lgbm,0.01,0.9455,0.8444,0.902,0.9737
42,nfunswv2,nf2018v2,lgbm,0.01,0.9455,0.8444,0.902,0.9737
42,nfunswv2,nf2018v2,mlp,0.001,0.2139,0.7451,0.882,0.9401
42,nfunswv2,nf2018v2,mlp,0.001,0.2139,0.7451,0.882,0.9401
42,nfunswv2,nf2018v2,mlp,0.001,0.2139,0.7451,0.882,0.9401
42,nfunswv2,nf2018v2,mlp,0.01,0.8922,0.9459,0.9565,0.9606
42,nfunswv2,nf2018v2,mlp,0.01,0.8922,0.9459,0.9565,0.9606
42,nfunswv2,nf2018v2,mlp,0.01,0.8922,0.9459,0.9565,0.9606
42,nfunswv2,nf2018v2,rf,0.001,0.6056,0.9617,0.9623,0.9617
42,nfunswv2,nf2018v2,rf,0.001,0.6056,0.9617,0.9623,0.9617
42,nfunswv2,nf2018v2,rf,0.001,0.6056,0.9617,0.9623,0.9617
42,nfunswv2,nf2018v2,rf,0.01,0.6362,0.9718,0.9733,0.9729
42,nfunswv2,nf2018v2,rf,0.01,0.6362,0.9718,0.9733,0.9729
42,nfunswv2,nf2018v2,rf,0.01,0.6362,0.9718,0.9733,0.9729
42,nfunswv2,nfbotv2,lgbm,0.001,0.7089,0.7617,0.764,0.7755
42,nfunswv2,nfbotv2,lgbm,0.001,0.7089,0.7617,0.764,0.7755
42,nfunswv2,nfbotv2,lgbm,0.001,0.7089,0.7617,0.764,0.7755
42,nfunswv2,nfbotv2,lgbm,0.01,0.8532,0.8743,0.8792,0.8773
42,nfunswv2,nfbotv2,lgbm,0.01,0.8532,0.8743,0.8792,0.8773
42,nfunswv2,nfbotv2,lgbm,0.01,0.8532,0.8743,0.8792,0.8773
42,nfunswv2,nfbotv2,mlp,0.001,0.1073,0.6121,0.6368,0.6501
42,nfunswv2,nfbotv2,mlp,0.001,0.1073,0.6121,0.6368,0.6501
42,nfunswv2,nfbotv2,mlp,0.001,0.1073,0.6121,0.6368,0.6501
42,nfunswv2,nfbotv2,mlp,0.01,0.6533,0.8908,0.9044,0.7544
42,nfunswv2,nfbotv2,mlp,0.01,0.6533,0.8908,0.9044,0.7544
42,nfunswv2,nfbotv2,mlp,0.01,0.6533,0.8908,0.9044,0.7544
42,nfunswv2,nfbotv2,rf,0.001,0.111,0.8289,0.76,0.7255
42,nfunswv2,nfbotv2,rf,0.001,0.111,0.8289,0.76,0.7255
42,nfunswv2,nfbotv2,rf,0.001,0.111,0.8289,0.76,0.7255
42,nfunswv2,nfbotv2,rf,0.01,0.1228,0.9038,0.9033,0.8905
42,nfunswv2,nfbotv2,rf,0.01,0.1228,0.9038,0.9033,0.8905
42,nfunswv2,nfbotv2,rf,0.01,0.1228,0.9038,0.9033,0.8905
42,nfunswv2,nftonv2,lgbm,0.001,0.7922,0.7224,0.7224,0.9324
42,nfunswv2,nftonv2,lgbm,0.001,0.7922,0.7224,0.7224,0.9324
42,nfunswv2,nftonv2,lgbm,0.001,0.7922,0.7224,0.7224,0.9324
42,nfunswv2,nftonv2,lgbm,0.01,0.8674,0.8274,0.4416,0.9693
42,nfunswv2,nftonv2,lgbm,0.01,0.8674,0.8274,0.4416,0.9693
42,nfunswv2,nftonv2,lgbm,0.01,0.8674,0.8274,0.4416,0.9693
42,nfunswv2,nftonv2,mlp,0.001,0.1144,0.4445,0.5764,0.908
42,nfunswv2,nftonv2,mlp,0.001,0.1144,0.4445,0.5764,0.908
42,nfunswv2,nftonv2,mlp,0.001,0.1144,0.4445,0.5764,0.908
42,nfunswv2,nftonv2,mlp,0.01,0.6547,0.7677,0.8131,0.9357
42,nfunswv2,nftonv2,mlp,0.01,0.6547,0.7677,0.8131,0.9357
42,nfunswv2,nftonv2,mlp,0.01,0.6547,0.7677,0.8131,0.9357
42,nfunswv2,nftonv2,rf,0.001,0.2814,0.9011,0.9318,0.9356
42,nfunswv2,nftonv2,rf,0.001,0.2814,0.9011,0.9318,0.9356
42,nfunswv2,nftonv2,rf,0.001,0.2814,0.9011,0.9318,0.9356
42,nfunswv2,nftonv2,rf,0.01,0.2942,0.939,0.9672,0.967
42,nfunswv2,nftonv2,rf,0.01,0.2942,0.939,0.9672,0.967
42,nfunswv2,nftonv2,rf,0.01,0.2942,0.939,0.9672,0.967
43,nf2018v2,nfbotv2,lgbm,0.001,0.7868,0.7901,0.7844,0.7953
43,nf2018v2,nfbotv2,lgbm,0.01,0.9214,0.923,0.9223,0.5525
43,nf2018v2,nfbotv2,mlp,0.001,0.3027,0.5895,0.6486,0.6862
43,nf2018v2,nfbotv2,mlp,0.01,0.7715,0.8956,0.8395,0.7417
43,nf2018v2,nfbotv2,rf,0.001,0.0213,0.8214,0.8555,0.8191
43,nf2018v2,nfbotv2,rf,0.01,0.0258,0.8682,0.9294,0.9237
43,nf2018v2,nftonv2,lgbm,0.001,0.8425,0.4796,0.4796,0.9363
43,nf2018v2,nftonv2,lgbm,0.01,0.9003,0.7166,0.7166,0.9701
43,nf2018v2,nftonv2,mlp,0.001,0.2519,0.5746,0.6573,0.9029
43,nf2018v2,nftonv2,mlp,0.01,0.7027,0.7604,0.7692,0.9306
43,nf2018v2,nftonv2,rf,0.001,0.0395,0.7564,0.9356,0.9373
43,nf2018v2,nftonv2,rf,0.01,0.0434,0.7966,0.9654,0.9675
43,nf2018v2,nfunswv2,lgbm,0.001,0.8352,0.8404,0.8405,0.8823
43,nf2018v2,nfunswv2,lgbm,0.01,0.7688,0.8449,0.8449,0.9376
43,nf2018v2,nfunswv2,mlp,0.001,0.2335,0.6824,0.6887,0.8004
43,nf2018v2,nfunswv2,mlp,0.01,0.7372,0.8927,0.9211,0.9031
43,nf2018v2,nfunswv2,rf,0.001,0.1082,0.7448,0.8964,0.8876
43,nf2018v2,nfunswv2,rf,0.01,0.1205,0.8201,0.931,0.9334
43,nfbotv2,nf2018v2,lgbm,0.001,0.0149,0.0149,0.0149,0.963
43,nfbotv2,nf2018v2,lgbm,0.01,0.0149,0.0149,0.0149,0.9725
43,nfbotv2,nf2018v2,mlp,0.001,0.5384,0.806,0.8026,0.9442
43,nfbotv2,nf2018v2,mlp,0.01,0.9041,0.9531,0.9627,0.964
43,nfbotv2,nf2018v2,rf,0.001,0.5281,0.9609,0.9642,0.9623
