source,target,model,budget,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std,n_train_mean,n_train_std
nf2018v2,nftonv2,rf,0.001,buffer_only,0.9367,0.001,0.9374,0.0017,0.9683,0.0005,0.993,0.0005,0.0517,0.0099,0.0061,0.0012,2100.0,0.0
nf2018v2,nftonv2,rf,0.001,calibrate,0.0,0.0,0.3255,0.0025,0.4206,0.0,0.5007,0.0078,1.0,0.0,0.1219,0.0565,2100.0,0.0
nf2018v2,nftonv2,rf,0.001,rethreshold,0.325,0.1254,0.3286,0.121,0.6447,0.0789,0.5873,0.0391,0.4357,0.1326,0.5825,0.0172,2100.0,0.0
nf2018v2,nftonv2,rf,0.01,augment,0.9575,,0.9576,,0.9787,,0.9964,,0.035,,0.007,,270999.0,
nf2018v2,nftonv2,rf,0.01,buffer_only,0.9672,0.0002,0.9672,0.0004,0.9836,0.0001,0.997,0.0003,0.032,0.0023,0.0044,0.0005,21000.0,0.0
nf2018v2,nftonv2,rf,0.01,calibrate,0.0,0.0,0.3255,0.0025,0.4206,0.0,0.5007,0.0078,1.0,0.0,0.0916,0.0796,21000.0,0.0
nf2018v2,nftonv2,rf,0.01,rethreshold,0.3286,0.121,0.3286,0.121,0.6611,0.0561,0.5873,0.0391,0.5135,0.0031,0.5825,0.0172,21000.0,0.0
nf2018v2,nftonv2,rf,0.05,buffer_only,0.9796,0.0002,0.9792,0.0,0.9898,0.0001,0.998,0.0002,0.0208,0.0003,0.0035,0.0003,105000.0,0.0
nf2018v2,nftonv2,rf,0.05,calibrate,0.0,0.0,0.3255,0.0025,0.4206,0.0,0.5007,0.0078,1.0,0.0,0.0906,0.0785,105000.0,0.0
nf2018v2,nftonv2,rf,0.05,rethreshold,0.3286,0.121,0.3286,0.121,0.6611,0.0561,0.5873,0.0391,0.5135,0.0031,0.5825,0.0172,105000.0,0.0
nf2018v2,nftonv2,rf,0.1,buffer_only,0.9824,0.0002,0.9823,0.0003,0.9912,0.0001,0.9982,0.0002,0.018,0.0003,0.0031,0.0002,210000.0,0.0
nf2018v2,nftonv2,rf,0.1,calibrate,0.0,0.0,0.3255,0.0025,0.4206,0.0,0.5007,0.0078,1.0,0.0,0.0915,0.0793,210000.0,0.0
nf2018v2,nftonv2,rf,0.1,rethreshold,0.3286,0.121,0.3286,0.121,0.6611,0.0561,0.5873,0.0391,0.5135,0.0031,0.5825,0.0172,210000.0,0.0
