seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,orient,buffer_est,cv_est,n_benign_buf,fit_s
43,nf2018v2,nfbotv2,mlp,0.1,rethreshold_2s,210001,0.28673513556361013,0.5629458810312974,0.3047226537125984,0.5226013042305283,0.4052443384982122,0.5670429370347534,0.5298318869278983,0.19258896323727426,2.5314032458979144e-07,-1,0.2872389291225697,,881,
43,nf2018v2,nfbotv2,mlp,0.1,selector,210001,0.28673513556361013,0.5629458810312974,,0.5226013042305283,0.4052443384982122,0.5670429370347534,0.5298318869278983,0.19258896323727426,2.5314032458979144e-07,0,0.2872389291225697,0.9298545339985956,881,
43,nf2018v2,nfbotv2,mlp,0.0001,acq_uncertainty,210,0.49894904562319464,0.9937119087536106,0.0,0.5,1.0,0.004195,0.004194999999999949,0.0,inf,,,,0,0
43,nf2018v2,nfbotv2,mlp,0.0001,acq_hybrid,210,0.6709624645979806,0.9955492606816908,0.436929857978564,0.7006764382264925,0.7878426698450537,0.0032474437894845784,0.002792117087029985,0.5961786893878048,0.9835137439025875,,,,2,0
43,nf2018v2,nfbotv2,mlp,0.001,acq_uncertainty,2100,0.7702053091778063,0.996721912267307,0.5948488591394132,0.757831318334498,0.6174016686531585,0.002599900118933519,0.0021472572449489037,0.6811210308468009,0.9915166037894235,,,,4,1
43,nf2018v2,nfbotv2,mlp,0.001,acq_hybrid,2100,0.7771477785444543,0.9967900110521472,0.6006283126000149,0.7791730743483665,0.5983313468414779,0.0024879650424706632,0.001212698411928003,0.6608845530688742,0.9396397880920204,,,,7,1
43,nfunswv2,nf2018v2,rf,0,zero_shot_2s,250002,0.3380042815010819,0.561509830872376,-0.24580772077228613,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.2515937392140749,0.5533333333333333,-1,,,,
43,nfunswv2,nf2018v2,rf,0.0001,rethreshold_2s,217,0.3380042815010819,0.561509830872376,0.21907816199959435,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,-1,0.2930700052188785,,185,
43,nfunswv2,nf2018v2,rf,0.0001,selector,217,0.3380042815010819,0.561509830872376,,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,0,0.2930700052188785,0.9054221850479712,185,
43,nfunswv2,nf2018v2,rf,0.001,rethreshold_2s,2102,0.3380042815010819,0.561509830872376,0.24852854560503876,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,-1,0.2505620517742439,,1851,
43,nfunswv2,nf2018v2,rf,0.001,selector,2102,0.3380042815010819,0.561509830872376,,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,0,0.2505620517742439,0.9680342007118181,1851,
43,nfunswv2,nf2018v2,rf,0.01,rethreshold_2s,21001,0.3380042815010819,0.561509830872376,0.2515937392140749,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,-1,0.25493411277281525,,18514,
43,nfunswv2,nf2018v2,rf,0.01,selector,21001,0.3380042815010819,0.561509830872376,,0.5072553964737352,0.48393847619695785,0.21859785678849383,0.27978810105949475,0.24594416412097464,0.3233333333333333,0,0.25493411277281525,0.9749568880425712,18514,
